Crime_ID,Date_Reported,State,City,Crime_Type,Severity,Victim_Age,Victim_Gender,Reported_By,Arrest_Made,Suspect_Age,Suspect_Gender,Outcome,Officer_ID,Response_Time
66,2020-10-25,Delta,Ughelli,Homicide,4,59,Female,Police,No,,,Closed,OFF2115,7
67,2020-11-22,Rivers,Port Harcourt,Fraud,4,18,Male,Media,No,,,Closed,OFF6884,30
68,2022-01-18,Abuja,Wuse,Homicide,3,16,Male,Police,Yes,22.0,Female,Closed,OFF5427,67
69,2022-07-23,Kano,Dala,Theft,4,42,Female,Citizen,No,,,Closed,OFF8663,128
70,2022-09-04,Rivers,Port Harcourt,Homicide,3,31,Female,Citizen,No,,,Closed,OFF1539,116
71,2020-02-11,Kano,Ungogo,Assault,1,78,Male,Police,No,,,Open,OFF3345,56
72,2020-12-04,Edo,Benin City,Robbery,2,65,Female,Media,Yes,36.0,Male,In Court,OFF6755,50
73,2020-09-07,Enugu,Awgu,Burglary,1,66,Male,Media,No,,,In Court,OFF8309,150
74,2021-08-23,Rivers,Port Harcourt,Homicide,1,30,Female,Media,No,,,In Court,OFF2475,161
75,2020-04-28,Enugu,Enugu East,Homicide,1,29,Female,Media,Yes,74.0,Male,In Court,OFF5854,93
76,2020-02-07,Ogun,Abeokuta,Assault,5,55,Male,Police,Yes,19.0,Female,Closed,OFF8489,119
77,2020-12-23,Delta,Warri,Robbery,4,20,Male,Citizen,Yes,46.0,Male,In Court,OFF1605,179
78,2022-03-13,Ogun,Abeokuta,Homicide,1,33,Female,Police,No,,,Open,OFF5434,136
79,2022-06-02,Kaduna,Kaduna North,Burglary,4,33,Female,Citizen,No,,,Open,OFF1132,145
80,2020-02-16,Ogun,Abeokuta,Burglary,3,31,Male,Citizen,No,,,In Court,OFF7951,31
81,2020-06-23,Delta,Ughelli,Fraud,4,21,Male,Media,No,,,Closed,OFF6541,16
82,2020-06-15,Lagos,Lekki,Robbery,5,73,Female,Police,Yes,46.0,Female,Open,OFF2869,106
83,2020-03-10,Lagos,Lekki,Fraud,3,22,Female,Police,No,,,Closed,OFF8929,102
84,2020-12-16,Kano,Ungogo,Fraud,1,22,Male,Media,No,,,Open,OFF5854,64
85,2020-11-11,Delta,Warri,Burglary,2,22,Female,Media,Yes,48.0,Male,Closed,OFF2162,158
86,2022-06-16,Delta,Ughelli,Fraud,4,62,Female,Citizen,No,,,Open,OFF2543,136
87,2021-12-25,Abuja,Wuse,Homicide,3,42,Female,Media,Yes,21.0,Female,In Court,OFF8775,50
88,2022-07-15,Edo,Auchi,Homicide,4,68,Male,Police,No,,,Closed,OFF2119,87
89,2020-12-10,Delta,Ughelli,Homicide,3,53,Male,Police,No,,,Closed,OFF9822,156
90,2021-11-30,Ogun,Sagamu,Fraud,2,54,Female,Citizen,Yes,73.0,Female,In Court,OFF4052,39
91,2022-07-23,Enugu,Awgu,Theft,3,34,Male,Police,Yes,76.0,Male,Open,OFF2315,152
92,2020-11-22,Kano,Dala,Burglary,4,36,Male,Police,Yes,61.0,Male,Closed,OFF5149,175
93,2021-10-03,Rivers,Bonny,Burglary,4,65,Male,Media,No,,,Closed,OFF4172,18
94,2021-12-01,Edo,Ekpoma,Theft,5,45,Male,Citizen,Yes,70.0,Female,Open,OFF1083,38
95,2021-04-11,Ogun,Ijebu Ode,Robbery,1,75,Female,Police,No,,,In Court,OFF4266,156
96,2021-10-17,Kaduna,Kafanchan,Burglary,1,48,Female,Citizen,Yes,71.0,Male,Open,OFF4968,82
97,2021-11-19,Kano,Tarauni,Assault,1,48,Female,Media,Yes,62.0,Male,Open,OFF3825,107
98,2021-10-04,Delta,Asaba,Theft,1,67,Male,Media,No,,,In Court,OFF9665,41
99,2020-07-11,Lagos,Ikeja,Assault,5,26,Male,Police,No,,,Open,OFF5509,22
100,2020-04-25,Kano,Ungogo,Robbery,2,28,Male,Media,No,,,In Court,OFF2048,55
101,2021-11-10,Edo,Benin City,Homicide,4,32,Male,Media,No,,,Open,OFF1144,168
102,2021-09-07,Ogun,Ijebu Ode,Burglary,4,33,Female,Media,Yes,70.0,Female,Open,OFF9241,94
103,2022-05-20,Lagos,Lekki,Theft,5,22,Male,Media,No,,,Open,OFF6441,102
104,2021-01-19,Kaduna,Kaduna North,Fraud,1,66,Male,Citizen,No,,,Open,OFF9768,90
105,2022-02-25,Edo,Ekpoma,Homicide,5,63,Male,Police,No,,,In Court,OFF4181,35
106,2022-03-04,Oyo,Iseyin,Theft,1,55,Female,Citizen,No,,,In Court,OFF4337,9
107,2020-07-24,Abuja,Wuse,Theft,5,75,Female,Citizen,Yes,47.0,Male,Closed,OFF1841,106
108,2020-08-14,Ogun,Ijebu Ode,Theft,1,76,Female,Media,No,,,Open,OFF8322,126
109,2020-05-15,Edo,Auchi,Robbery,1,69,Male,Media,Yes,40.0,Female,Open,OFF2861,72
110,2022-02-07,Enugu,Nsukka,Assault,1,15,Female,Police,Yes,63.0,Male,Open,OFF4726,166
111,2020-02-05,Rivers,Port Harcourt,Homicide,4,58,Male,Citizen,No,,,In Court,OFF7133,47
112,2021-01-27,Ogun,Sagamu,Fraud,4,63,Male,Media,Yes,57.0,Male,In Court,OFF9373,57
113,2020-11-25,Enugu,Nsukka,Robbery,2,44,Male,Citizen,Yes,71.0,Male,Closed,OFF5311,144
114,2021-11-20,Kaduna,Kaduna North,Assault,5,18,Female,Citizen,Yes,46.0,Male,In Court,OFF2634,43
115,2020-09-29,Delta,Ughelli,Robbery,1,72,Male,Citizen,Yes,61.0,Male,Closed,OFF5832,141
116,2021-03-08,Delta,Ughelli,Burglary,1,74,Female,Citizen,No,,,In Court,OFF2335,53
117,2022-01-25,Edo,Auchi,Theft,1,62,Male,Media,No,,,In Court,OFF9212,100
118,2022-08-07,Kano,Dala,Theft,3,70,Male,Media,Yes,59.0,Female,In Court,OFF7517,156
119,2020-02-07,Kaduna,Zaria,Robbery,2,50,Female,Police,No,,,Open,OFF3545,139
120,2022-06-04,Lagos,Lekki,Homicide,5,39,Female,Citizen,No,,,In Court,OFF6292,74
121,2021-06-20,Delta,Asaba,Assault,1,52,Male,Media,No,,,Open,OFF4240,75
122,2021-03-12,Kaduna,Kaduna North,Fraud,5,38,Female,Police,Yes,17.0,Male,Open,OFF1468,83
123,2021-06-21,Enugu,Awgu,Burglary,4,29,Male,Citizen,No,,,In Court,OFF3883,155
124,2022-01-12,Enugu,Awgu,Robbery,1,50,Female,Police,No,,,Closed,OFF2643,111
125,2021-08-16,Edo,Auchi,Fraud,3,74,Female,Police,Yes,64.0,Male,Open,OFF4770,141
126,2021-06-13,Rivers,Obio,Fraud,5,55,Female,Citizen,Yes,50.0,Female,Open,OFF9967,62
127,2020-10-30,Lagos,Lekki,Homicide,5,43,Female,Media,No,,,In Court,OFF4718,117
128,2022-01-14,Rivers,Obio,Theft,2,32,Male,Police,No,,,Closed,OFF5747,107
129,2020-12-24,Kano,Ungogo,Robbery,5,49,Female,Police,No,,,In Court,OFF5587,159
130,2022-08-29,Delta,Ughelli,Theft,3,26,Female,Police,No,,,Open,OFF5793,52
131,2020-01-05,Enugu,Enugu East,Homicide,4,19,Male,Citizen,No,,,In Court,OFF6563,143
132,2021-04-25,Ogun,Abeokuta,Homicide,4,15,Female,Media,No,,,Open,OFF9020,25
133,2020-06-09,Oyo,Ibadan,Homicide,4,23,Female,Citizen,No,,,In Court,OFF8458,29
134,2022-02-09,Edo,Auchi,Burglary,5,77,Female,Police,Yes,26.0,Female,Open,OFF2597,178
135,2020-05-03,Lagos,Yaba,Burglary,1,27,Male,Police,No,,,Closed,OFF6083,100
136,2021-04-10,Rivers,Obio,Burglary,5,28,Male,Citizen,No,,,Open,OFF5169,170
137,2021-10-28,Edo,Benin City,Homicide,2,15,Female,Citizen,No,,,Open,OFF4311,88
138,2020-01-22,Oyo,Iseyin,Burglary,1,55,Male,Citizen,No,,,Closed,OFF8640,35
139,2021-07-11,Delta,Ughelli,Theft,4,33,Male,Media,No,,,In Court,OFF4215,101
140,2021-09-15,Lagos,Ikeja,Burglary,3,80,Male,Citizen,No,,,Open,OFF8382,95
141,2022-08-05,Oyo,Iseyin,Robbery,2,20,Female,Media,No,,,In Court,OFF3131,163
142,2020-03-23,Edo,Benin City,Fraud,1,65,Male,Citizen,No,,,Open,OFF9892,84
143,2020-01-03,Edo,Auchi,Assault,3,51,Male,Police,Yes,25.0,Female,Closed,OFF5043,147
144,2020-10-01,Rivers,Port Harcourt,Theft,1,26,Male,Police,Yes,50.0,Male,Closed,OFF5217,136
145,2020-01-14,Edo,Ekpoma,Fraud,1,66,Male,Media,No,,,Closed,OFF7112,80
146,2022-08-25,Lagos,Lekki,Robbery,5,69,Male,Media,Yes,22.0,Female,Open,OFF5417,102
147,2021-10-14,Ogun,Abeokuta,Burglary,5,50,Female,Police,No,,,Open,OFF5716,124
148,2022-01-18,Enugu,Enugu East,Theft,4,47,Male,Citizen,No,,,In Court,OFF6757,51
149,2020-02-23,Lagos,Yaba,Burglary,5,33,Male,Media,No,,,Closed,OFF4736,161
150,2020-08-20,Delta,Warri,Robbery,3,76,Male,Police,Yes,73.0,Female,In Court,OFF9112,46
151,2021-10-04,Delta,Asaba,Theft,1,79,Female,Media,Yes,26.0,Male,Closed,OFF9260,97
152,2021-10-17,Abuja,Garki,Assault,2,80,Female,Police,Yes,49.0,Female,Closed,OFF2813,154
153,2022-08-25,Lagos,Lekki,Fraud,2,47,Male,Police,Yes,66.0,Male,Open,OFF3559,81
154,2021-04-09,Oyo,Ogbomosho,Theft,1,58,Female,Police,No,,,Open,OFF4621,70
155,2021-07-10,Enugu,Nsukka,Fraud,2,53,Male,Media,Yes,16.0,Female,In Court,OFF2228,25
156,2022-09-03,Oyo,Ibadan,Assault,2,19,Female,Citizen,Yes,43.0,Male,Open,OFF1535,95
157,2022-07-24,Edo,Benin City,Robbery,2,40,Female,Citizen,Yes,66.0,Male,In Court,OFF1524,27
158,2021-04-13,Delta,Warri,Homicide,5,41,Female,Police,No,,,Open,OFF1592,37
159,2022-04-09,Ogun,Ijebu Ode,Assault,1,41,Female,Citizen,No,,,In Court,OFF9729,122
160,2020-02-25,Kano,Ungogo,Robbery,1,33,Male,Media,No,,,In Court,OFF7003,92
161,2021-03-02,Abuja,Wuse,Fraud,5,40,Female,Citizen,No,,,Open,OFF7335,85
162,2020-03-17,Edo,Benin City,Burglary,5,21,Male,Media,No,,,Closed,OFF7800,179
163,2021-06-06,Edo,Benin City,Theft,1,37,Male,Citizen,No,,,Open,OFF5980,134
164,2020-02-07,Rivers,Port Harcourt,Burglary,1,69,Male,Police,No,,,In Court,OFF6552,125
165,2022-05-30,Edo,Auchi,Theft,2,70,Female,Citizen,No,,,Open,OFF7946,89
166,2021-05-15,Kano,Ungogo,Assault,4,61,Female,Police,No,,,In Court,OFF6224,58
167,2021-07-16,Kaduna,Kaduna North,Theft,4,41,Male,Media,Yes,47.0,Male,Closed,OFF7903,111
168,2020-10-01,Lagos,Lekki,Fraud,4,76,Male,Police,Yes,18.0,Female,Closed,OFF3424,124
169,2020-09-13,Lagos,Lekki,Theft,3,40,Female,Police,No,,,Closed,OFF8338,78
170,2020-10-09,Abuja,Maitama,Robbery,2,25,Male,Citizen,No,,,In Court,OFF5073,75
171,2021-05-03,Oyo,Iseyin,Assault,2,79,Female,Citizen,No,,,Open,OFF1220,45
172,2020-08-04,Ogun,Sagamu,Fraud,2,79,Male,Citizen,No,,,Open,OFF4446,53
173,2021-06-04,Kano,Tarauni,Assault,4,50,Female,Citizen,Yes,60.0,Male,Closed,OFF2250,173
174,2020-07-03,Oyo,Iseyin,Homicide,3,43,Female,Citizen,Yes,47.0,Male,Closed,OFF5822,138
175,2022-07-09,Enugu,Nsukka,Fraud,1,26,Female,Media,No,,,In Court,OFF3863,139
176,2020-11-11,Kano,Ungogo,Robbery,5,77,Female,Police,No,,,Open,OFF4797,128
177,2021-11-01,Rivers,Bonny,Robbery,4,71,Male,Media,No,,,Closed,OFF4136,52
178,2021-04-10,Edo,Benin City,Burglary,3,46,Male,Media,Yes,36.0,Female,Open,OFF4880,73
179,2022-09-18,Enugu,Enugu East,Assault,5,65,Female,Police,No,,,In Court,OFF8583,79
180,2022-08-31,Abuja,Maitama,Robbery,3,17,Female,Citizen,No,,,Open,OFF1576,10
181,2020-10-24,Enugu,Enugu East,Robbery,2,21,Male,Media,Yes,68.0,Female,Open,OFF1628,176
182,2021-07-14,Enugu,Nsukka,Theft,1,47,Female,Media,No,,,Closed,OFF3991,117
183,2021-06-07,Kano,Dala,Theft,1,71,Male,Media,No,,,Closed,OFF6485,90
184,2020-09-26,Ogun,Ijebu Ode,Burglary,5,63,Female,Citizen,No,,,Closed,OFF8335,162
185,2022-08-12,Kaduna,Zaria,Burglary,3,48,Male,Citizen,Yes,27.0,Male,Open,OFF3952,144
186,2021-03-07,Kano,Dala,Theft,3,78,Female,Police,No,,,In Court,OFF6311,119
187,2022-05-27,Rivers,Port Harcourt,Robbery,5,66,Female,Police,No,,,Closed,OFF2759,168
188,2022-06-11,Lagos,Yaba,Robbery,2,25,Female,Media,Yes,80.0,Male,In Court,OFF2678,107
189,2021-07-09,Oyo,Iseyin,Assault,2,25,Male,Media,No,,,In Court,OFF8227,157
190,2022-03-27,Enugu,Enugu East,Assault,1,42,Female,Citizen,Yes,40.0,Male,Closed,OFF5791,98
191,2020-09-16,Abuja,Garki,Assault,4,29,Male,Citizen,Yes,79.0,Female,In Court,OFF1695,154
192,2021-09-30,Abuja,Maitama,Theft,2,76,Male,Police,No,,,Closed,OFF9148,51
193,2022-06-05,Oyo,Ibadan,Robbery,1,75,Male,Police,Yes,58.0,Female,In Court,OFF5863,106
194,2021-02-18,Abuja,Maitama,Fraud,1,77,Male,Media,Yes,64.0,Male,Closed,OFF9174,138
195,2021-09-17,Kaduna,Kaduna North,Assault,2,76,Male,Police,No,,,Closed,OFF7872,94
196,2020-05-29,Lagos,Lekki,Burglary,5,64,Female,Citizen,Yes,61.0,Female,Open,OFF1000,130
197,2021-11-23,Ogun,Ijebu Ode,Theft,5,22,Male,Citizen,Yes,67.0,Male,Closed,OFF7376,31
198,2020-09-29,Lagos,Yaba,Robbery,3,47,Female,Citizen,Yes,61.0,Female,Open,OFF1369,37
199,2020-11-06,Edo,Benin City,Fraud,4,73,Male,Media,No,,,Closed,OFF5193,50
200,2020-03-16,Rivers,Port Harcourt,Robbery,3,44,Male,Media,Yes,18.0,Female,Closed,OFF5327,120
201,2022-09-19,Lagos,Yaba,Fraud,4,36,Male,Police,No,,,Open,OFF1938,124
202,2022-07-24,Delta,Asaba,Fraud,4,15,Male,Police,No,,,Open,OFF2437,156
203,2021-09-08,Enugu,Awgu,Homicide,3,20,Female,Media,Yes,46.0,Female,In Court,OFF7294,97
204,2021-01-11,Rivers,Bonny,Burglary,2,58,Female,Police,No,,,Open,OFF5128,91
205,2020-11-02,Kano,Tarauni,Burglary,2,31,Female,Police,No,,,In Court,OFF6821,53
206,2022-08-13,Kaduna,Zaria,Assault,3,56,Female,Police,No,,,Closed,OFF8134,83
207,2020-06-21,Kaduna,Kafanchan,Robbery,2,15,Male,Citizen,Yes,28.0,Female,In Court,OFF2345,69
208,2020-04-24,Kaduna,Zaria,Assault,5,62,Female,Media,No,,,In Court,OFF3993,56
209,2021-06-07,Kano,Ungogo,Burglary,1,73,Female,Police,Yes,78.0,Male,Closed,OFF9417,26
210,2021-02-01,Kano,Ungogo,Burglary,4,45,Female,Police,No,,,Closed,OFF5659,24
211,2020-03-21,Enugu,Enugu East,Theft,1,52,Female,Police,No,,,In Court,OFF8238,149
212,2020-10-04,Abuja,Maitama,Homicide,1,77,Male,Police,Yes,64.0,Male,Closed,OFF6523,169
213,2021-01-06,Ogun,Sagamu,Assault,3,61,Female,Police,Yes,62.0,Female,Open,OFF7521,169
214,2022-01-24,Kaduna,Kafanchan,Robbery,4,73,Male,Citizen,No,,,Open,OFF8997,100
215,2022-02-14,Kaduna,Kafanchan,Burglary,4,26,Female,Citizen,No,,,Open,OFF2120,108
216,2021-11-12,Kaduna,Kaduna North,Assault,5,47,Female,Police,No,,,In Court,OFF6671,89
217,2021-01-03,Ogun,Abeokuta,Assault,2,34,Female,Citizen,No,,,In Court,OFF7422,129
218,2021-12-22,Oyo,Ibadan,Fraud,3,58,Male,Media,Yes,21.0,Male,Closed,OFF1101,102
219,2021-03-06,Edo,Benin City,Fraud,4,42,Male,Citizen,Yes,76.0,Male,In Court,OFF3662,148
220,2020-12-27,Kaduna,Kafanchan,Fraud,3,57,Male,Citizen,Yes,26.0,Female,Open,OFF4569,136
221,2021-12-12,Oyo,Ogbomosho,Assault,3,53,Female,Police,No,,,Open,OFF3550,95
222,2021-10-21,Delta,Asaba,Robbery,1,51,Male,Citizen,Yes,66.0,Male,In Court,OFF2470,20
223,2021-03-20,Kano,Ungogo,Theft,2,72,Female,Citizen,Yes,77.0,Male,In Court,OFF5889,140
224,2021-09-27,Abuja,Maitama,Theft,1,77,Male,Media,No,,,Open,OFF5497,78
225,2022-05-24,Kano,Ungogo,Assault,4,32,Male,Media,No,,,Closed,OFF8972,35
226,2021-06-27,Kano,Tarauni,Robbery,2,73,Female,Media,Yes,62.0,Male,In Court,OFF7036,144
227,2022-04-17,Oyo,Iseyin,Theft,4,79,Female,Media,No,,,In Court,OFF6999,12
228,2022-05-19,Kano,Dala,Fraud,5,21,Female,Citizen,No,,,Closed,OFF6378,17
229,2022-06-30,Enugu,Nsukka,Theft,3,38,Female,Media,Yes,35.0,Female,Open,OFF4454,39
230,2020-08-04,Abuja,Wuse,Homicide,5,47,Male,Citizen,No,,,In Court,OFF4302,161
231,2021-05-13,Kaduna,Kaduna North,Robbery,3,59,Male,Police,No,,,Open,OFF3306,55
232,2022-04-08,Rivers,Port Harcourt,Theft,3,33,Female,Police,No,,,In Court,OFF4688,156
233,2020-02-01,Kano,Ungogo,Burglary,4,67,Male,Police,No,,,In Court,OFF9375,164
234,2020-06-09,Abuja,Maitama,Fraud,5,69,Female,Police,Yes,71.0,Female,Closed,OFF1610,108
235,2021-11-27,Edo,Auchi,Robbery,3,41,Male,Police,No,,,Closed,OFF4657,33
236,2021-01-22,Ogun,Sagamu,Burglary,5,70,Female,Media,No,,,In Court,OFF2534,89
237,2022-09-15,Ogun,Abeokuta,Robbery,4,19,Female,Citizen,Yes,75.0,Female,Open,OFF8558,119
238,2020-03-02,Oyo,Ogbomosho,Homicide,1,53,Male,Media,Yes,34.0,Male,Open,OFF1758,24
239,2021-06-17,Abuja,Wuse,Fraud,5,50,Male,Media,No,,,Closed,OFF8987,179
240,2020-05-13,Rivers,Bonny,Robbery,1,71,Female,Media,Yes,36.0,Female,Closed,OFF4466,88
241,2021-08-04,Oyo,Iseyin,Homicide,2,66,Female,Police,Yes,70.0,Male,Closed,OFF4697,8
242,2022-09-01,Kano,Dala,Burglary,1,35,Female,Police,No,,,In Court,OFF8533,144
243,2022-01-03,Oyo,Iseyin,Fraud,4,72,Male,Media,No,,,Open,OFF4812,12
244,2022-01-22,Ogun,Ijebu Ode,Assault,2,35,Female,Media,Yes,54.0,Male,Closed,OFF6875,66
245,2021-05-02,Edo,Benin City,Assault,3,15,Male,Citizen,Yes,64.0,Female,Closed,OFF1537,22
246,2022-07-04,Enugu,Enugu East,Theft,3,60,Female,Citizen,Yes,15.0,Male,Closed,OFF1398,88
247,2020-08-31,Rivers,Port Harcourt,Homicide,4,77,Female,Media,No,,,Closed,OFF3265,135
248,2022-03-27,Kaduna,Kafanchan,Burglary,2,80,Male,Media,Yes,47.0,Female,Closed,OFF2674,62
249,2020-03-15,Edo,Benin City,Fraud,5,27,Female,Police,Yes,15.0,Male,Open,OFF5367,142
250,2020-08-02,Oyo,Ogbomosho,Burglary,2,54,Male,Citizen,No,,,In Court,OFF3128,50
251,2021-01-29,Edo,Ekpoma,Homicide,4,50,Female,Citizen,No,,,Open,OFF9543,52
252,2021-01-23,Kaduna,Kafanchan,Fraud,5,76,Female,Citizen,No,,,In Court,OFF2672,8
253,2021-12-14,Delta,Asaba,Robbery,3,72,Female,Citizen,Yes,64.0,Female,Open,OFF8831,126
254,2021-11-20,Kano,Ungogo,Theft,4,74,Female,Media,No,,,Open,OFF4305,140
255,2021-04-10,Kaduna,Kaduna North,Robbery,3,49,Female,Police,Yes,75.0,Female,In Court,OFF9613,108
256,2021-07-08,Oyo,Iseyin,Theft,2,26,Male,Police,Yes,61.0,Female,In Court,OFF6021,175
257,2020-02-25,Rivers,Bonny,Assault,3,39,Male,Police,No,,,Open,OFF7628,144
